participant_id	study_week	simpson_fib
U127	week1	0.92059989639035
U127	week3	0.9273855663217951
U129	week1	0.849641752812168
U129	week3	0.8929379527738304
U131	week1	0.9413635492366185
U131	week3	0.9214656373716091
U132	week1	0.7335158508452103
U132	week3	0.9019077792091271
U150	week1	0.8902901371909576
U150	week3	0.8925521913302591
U152	week1	0.9334585543451888
U152	week3	0.9123258416776023
U153	week1	0.9001054088093097
U153	week3	0.9353051226494722
U161	week1	0.8328639760050492
U161	week3	0.8635565987107328
U162	week1	0.8223047669740176
U162	week3	0.8152250233384691
U165	week1	0.8943034727363509
U165	week3	0.8290634877521251
U166	week3	0.9540274297313093
U185	week1	0.9566961920488652
U185	week3	0.948273897730822
U186	week1	0.9206371714883778
U186	week3	0.9255750480429663
U224	week1	0.956728910154764
U224	week3	0.9296556544821872
U231	week1	0.9511601506140863
U231	week3	0.9376890300691482
U247	week1	0.9557319410942025
U247	week3	0.9374148333116848
U250	week1	0.858082614797747
U250	week3	0.8419880810727494
U259	week3	0.9212058254648715
U268	week1	0.8318041275640344
U268	week3	0.8105543848122192
U273	week1	0.946240165395076
U273	week3	0.9230923640019535
U276	week1	0.9584423858200232
U276	week3	0.9309929485178802
U282	week1	0.5509869447763025
U282	week3	0.3977054423777643
U291	week1	0.8846609012470781
U291	week3	0.8929216182692721
U296	week1	0.79672804690736
U296	week3	0.8280190913524034
U300	week1	0.9516477205987083
U300	week3	0.9400868986252375
U500	week1	0.9204641442509703
U500	week3	0.9343934674059835
U501	week1	0.9371729030349201
U501	week3	0.9287596542928832
U502	week1	0.9469176474439728
U502	week3	0.898123806870494
U507	week1	0.9376438517821248
U507	week3	0.9197133248847676
U509	week1	0.9715941569277943
U509	week3	0.9536849968863375
U510	week1	0.9148348669234618
U510	week3	0.9061051376525886
U511	week1	0.9563665788561854
U511	week3	0.9525049206449384
U516	week1	0.950284512850853
U516	week3	0.7645480041129281
U517	week1	0.9041767035849982
U517	week3	0.8901712126996324
U518	week1	0.946405115526618
U518	week3	0.9189486145053625
U520	week1	0.958854028265264
U520	week3	0.9394814366817934
U521	week1	0.8922653700584493
U521	week3	0.894917869606343
U523	week1	0.9486894772376543
U523	week3	0.9504725346055167
U524	week1	0.8712732558539247
U524	week3	0.7416088948162375
U526	week1	0.9300206851288797
U526	week3	0.9087166121954933
U529	week1	0.8995551194534752
U529	week3	0.9008504543001259
U530	week1	0.9447905486292985
U530	week3	0.9386376535252976
U532	week1	0.9312251689361779
U532	week3	0.9109369740884861
U536	week1	0.9599332081045464
U536	week3	0.9583710289170821
U541	week3	0.9379962542837333
U542	week1	0.9307280166527837
U542	week3	0.902900160325168
U543	week1	0.950914075390449
U543	week3	0.9344076594572959
U545	week1	0.9629169036732975
U545	week3	0.9293644023723384
U574	week1	0.8273000850895988
U574	week3	0.8886483906124255
U581	week1	0.8731355600170276
U581	week3	0.8778385925488142
U602	week1	0.9565694691663376
U602	week3	0.9473388622205109
U603	week1	0.949361219074461
U603	week3	0.9375130039412372
U605	week1	0.960826785998704
U605	week3	0.954341110510927
U606	week1	0.9336549633131431
U606	week3	0.9380553915249069
U607	week1	0.9571232233465152
U607	week3	0.9375508209012056
U608	week1	0.9581814693407843
U608	week3	0.9236594033448272
U610	week1	0.9484867722518799
U610	week3	0.9265630884392593
U611	week1	0.9271266679798182
U611	week3	0.9306818258350305
U612	week1	0.8780956360081472
U612	week3	0.798789082925331
U613	week1	0.9309304084350092
U615	week1	0.9070797776749444
U615	week3	0.9139511494832387
U619	week1	0.9180105359528701
U619	week3	0.8990802983554527
U621	week1	0.9699465817029568
U621	week3	0.9591796249997309
U624	week1	0.940264437039508
U624	week3	0.8770806922227403
U625	week1	0.9630743792947567
U625	week3	0.961708567212788
U626	week1	0.9311317312282882
U626	week3	0.9120782235588792
U628	week1	0.8611484914956331
U628	week3	0.897957566552751
U629	week1	0.9332815637035201
U629	week3	0.9328805466057946
U630	week1	0.9447918854803706
U630	week3	0.9470671286288794
U633	week1	0.9353392150415957
U633	week3	0.9083024531763012
U634	week1	0.8408054316983289
U634	week3	0.8056267028833217
U635	week1	0.9440030338537396
U635	week3	0.9348367202350566
U636	week1	0.9093521011789347
U636	week3	0.9340329296007363
U642	week1	0.9706372132328592
U642	week3	0.9645520610611134
U724	week1	0.9296233288670592
U724	week3	0.9548026744136896
U726	week1	0.8964577047946389
U726	week3	0.8152512178618102
U727	week1	0.8694073988761101
U727	week3	0.8575439025323865
U728	week1	0.7613921234684564
U728	week3	0.9437125716587266
U729	week1	0.5185185185185186
U729	week3	0.8172464728921465
U730	week1	0.9575442368374135
U730	week3	0.9452048207017122
U734	week1	0.9155562714584433
U734	week3	0.9309913136320189
U738	week1	0.9133031227411561
U738	week3	0.9385851536561657
U739	week1	0.9513218438526937
U739	week3	0.9490326213624424
U740	week1	0.8255343376404405
U740	week3	0.9054720780005419
U744	week1	0.9428884279482481
U744	week3	0.9134066362310524
U746	week1	0.9282470216631056
U746	week3	0.9389385206210582
U747	week1	0.7907958187825703
U747	week3	0.7810223314073198
U749	week1	0.9163443608263584
U749	week3	0.9065070485507447
U756	week1	0.957305174869258
U756	week3	0.9385729306799956
U758	week1	0.9032300262283363
U758	week3	0.8716027966505965
U761	week1	0.9678353300800004
U761	week3	0.9615649132392413
U764	week1	0.82632935637363
U764	week3	0.9382282631494051
U767	week1	0.7774336379525759
U767	week3	0.7741749827472725
U770	week1	0.9523254531242665
U770	week3	0.9331119022003265
U771	week1	0.8325757422389942
U771	week3	0.8379229429898674
U772	week1	0.9249211427676302
U772	week3	0.9159870213644027
