participant_id	study_week	simpson_fib
U776	week1	0.8205191952662723
U776	week3	0.9058040810313803
U778	week1	0.9345992316250734
U778	week3	0.9198383523328055
U779	week1	0.9588205087931211
U779	week3	0.9330339927281466
U780	week1	0.8927334280722491
U780	week3	0.8823982757908178
U784	week1	0.6714415944392669
U784	week3	0.6751418414578532
U788	week1	0.9403358918085788
U788	week3	0.9344949189963706
U789	week1	0.8707535935112447
U789	week3	0.9218097501357895
U796	week1	0.8974668007649137
U796	week3	0.8432794627030807
U797	week1	0.9646655449119608
U797	week3	0.9021487222260884
U798	week1	0.9510314000871206
U798	week3	0.885949922859764
